company_id,company_name,sector,pe_ratio,pb_ratio,ev_ebitda,FCF_yield_pct,5yr_median_PE,PE_vs_sector_median_pct,flag
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Materials,13.27,6.46,22.97,0.1351017361339134,33.86,39.19078558771412,Discount
BANKBARODA,Bank of Baroda,Financials,27.29,5.48,11.96,-3.0159723883596374,50.76,53.76280535855004,Discount
BHARTIARTL,Bharti Airtel Ltd,Communication Services,15.3,7.28,28.35,-4.922914262226461,26.095,58.63192182410424,Discount
CANBK,Canara Bank,Financials,31.3,11.96,36.19,-13.317338540867901,50.76,61.662726556343586,Discount
CIPLA,"Cipla Ltd
",Healthcare,26.77,7.27,32.2,-0.21012278027005862,14.145,189.2541534110993,Caution
COALINDIA,Coal India Ltd,Materials,77.94,9.67,39.51,2.23126791186514,33.86,230.18310691080922,Caution
DABUR,Dabur India Ltd,Consumer Staples,11.83,8.9,33.07,0.44941661917287407,18.2,65.0,Discount
DLF,DLF Ltd,Real Estate,65.17,7.73,13.18,-0.143522740759143,39.33,165.70048309178745,Caution
DMART,Avenue Supermarts Ltd,Consumer Discretionary,14.9,12.05,11.12,-0.08834720155575455,41.965,35.50577862504468,Discount
EICHERMOT,Eicher Motors Ltd,Consumer Discretionary,70.14,9.33,25.09,-0.07811717220327193,41.965,167.139282735613,Caution
GODREJCP,Godrej Consumer Products Ltd,Consumer Staples,54.25,5.01,7.79,-0.1226597871749353,18.2,298.0769230769231,Caution
HAVELLS,Havells India Ltd,Industrials,28.52,9.54,31.71,0.0070970745273520024,53.675,53.13460642757336,Discount
HEROMOTOCO,"Hero MotoCorp Ltd
",Consumer Discretionary,75.71,11.62,38.88,0.18947709695374568,41.965,180.4122483021565,Caution
HINDALCO,Hindalco Industries Ltd,Materials,9.47,3.28,25.46,3.4058864740693364,33.86,27.968103957471946,Discount
ICICIBANK,ICICI Bank Ltd,Financials,12.77,9.84,34.73,-3.660423644711351,50.76,25.15760441292356,Discount
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,Financials,76.8,0.56,32.16,-0.08088405991056788,50.76,151.30023640661938,Caution
INDIGO,Interglobe Aviation Ltd,Consumer Discretionary,76.23,7.87,24.64,-0.023927745818381373,41.965,181.65137614678898,Caution
INFY,Infosys Ltd,Information Technology,31.65,1.88,24.03,-0.5020619232888162,61.37,51.57242952582695,Discount
ITC,"ITC Ltd
",Consumer Staples,47.85,3.24,17.19,,18.2,262.9120879120879,Caution
JSWSTEEL,JSW Steel Ltd,Materials,8.68,9.24,33.75,-0.14387566607498908,33.86,25.634967513290018,Discount
LICI,Life Insurance Corporation of India,Financials,30.67,8.1,12.21,0.46463827637828564,50.76,60.42159180457053,Discount
LODHA,Macrotech Developers Ltd,Real Estate,13.49,1.97,18.41,,39.33,34.29951690821256,Discount
LT,Larsen & Toubro Ltd,Industrials,13.01,9.07,9.08,-1.8325134816031243,53.675,24.23847228691197,Discount
M&M,"Mahindra & Mahindra Ltd
",Consumer Discretionary,8.87,14.35,22.42,-0.5232084863024757,41.965,21.136661503633977,Discount
PNB,Punjab National Bank,Financials,20.42,9.61,11.26,-1.6595055063598794,50.76,40.22852639873917,Discount
RECLTD,REC Ltd,Financials,16.55,4.55,29.01,-13.91095300579292,50.76,32.60441292356187,Discount
RELIANCE,"Reliance Industries Ltd
",Energy,75.41,8.7,27.55,-11.598704438878734,37.004999999999995,203.78327253073908,Caution
SBILIFE,SBI Life Insurance Company Ltd,Financials,76.94,1.19,19.05,-0.3207428839164726,50.76,151.5760441292356,Caution
SHRIRAMFIN,"Shriram Finance Ltd
",Financials,79.88,0.51,8.83,-0.9431853296641165,50.76,157.3680063041765,Caution
SIEMENS,Siemens Ltd,Industrials,10.54,5.57,28.22,-0.008120644508778483,53.675,19.636702375407545,Discount
TATAMOTORS,Tata Motors Ltd,Consumer Discretionary,29.26,10.95,26.84,-0.16801129110284835,41.965,69.72477064220183,Discount
TATAPOWER,"Tata Power Company Ltd
",Energy,22.32,3.71,34.62,-0.02461017466197428,37.004999999999995,60.31617349006891,Discount
TATASTEEL,"Tata Steel Ltd
",Materials,73.73,10.62,12.63,-1.1301565378643348,33.86,217.74955699940938,Caution
TITAN,"Titan Company Ltd
",Consumer Discretionary,26.55,3.88,13.36,-0.03168475032163411,41.965,63.267008221136656,Discount
TORNTPHARM,Torrent Pharmaceuticals Ltd,Healthcare,65.62,1.87,33.78,-0.10746479497028469,14.145,463.909508660304,Caution
TRENT,Trent Ltd,Consumer Discretionary,68.1,13.78,13.28,-0.05199876163961836,41.965,162.27808888359345,Caution
